Nombre_Objetivo,Actividades_Clínicas_Base,Actividades_Familia_Base,Cantidad_Logros,Definición_Operativa,Fecha,Franja_Etaria,ID_Objetivo,Indicador_Tipo,Informe_Tecnico,Intentos_Sugeridos,Logros,Marco_Conceptual,Meta_%,Módulo,Nivel_1_Descripción,Nivel_2_Descripción,Nivel_3_Descripción,Objetivo_Logrado,Progreso,Recomendacion_Clinica,Semáforo,Sesiones,Sesiones_Consecutivas,Subárea,obj/registro,Área
Uso y comprensión de vocabulario académico,"
• Clasificación semántica
• Definición de palabras
• Analogías verbales
• Asociación concepto–categoría
• Juegos de sinónimos y antónimos
• Explicación de palabras nuevas","
• Preguntar significado de palabras nuevas
• Usar vocabulario escolar en conversación diaria
• Juegos de categorías
• Lectura compartida comentada
• Explicar palabras difíciles de cuentos o tareas",0,Producción y comprensión adecuada de vocabulario académico en contexto oral o narrativo.,,7-8,NL-7-SEM-01,Porcentaje de uso y comprensión correcta de vocabulario académico,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,"Entre los 7 y 8 años se amplía el repertorio léxico hacia vocabulario abstracto y académico, necesario para la comprensión escolar y el desarrollo del lenguaje escrito. Dificultades en este aspecto pueden impactar directamente en el rendimiento académico.",80,Neurolengua,Comprensión de vocabulario académico con apoyo contextual,Uso de vocabulario académico en frases,Uso espontáneo en discurso narrativo o explicativo,En proceso,,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,2,Vocabulario académico,,Semántica
Narración estructurada de experiencias y cuentos breves,🟢 Menor complejidadSecuencias visuales de 3 imágenesOrdenar tarjetas “primero – después – al final”Relato guiado con preguntas estructuradas🟡 Complejidad mediaRelato sin imágenes pero con palabras claveCrear final alternativoDetectar error en secuencia contada por terapeuta🔴 Mayor complejidadRelato espontáneo de experiencia personalRecontar cuento escuchado sin apoyo visualIncluir emoción + problema + solución,"Contar “qué fue lo mejor del día” con inicio y finalJuego de “ordenemos la historia”Narrar receta sencilla paso a pasoRelatar película breve usando “primero, después, al final”",0,Producción oral de relato con:3 eventos secuenciadosuso de al menos 2 conectores temporalesreferencia clara a personajes,,6-7,NL-6-7-NAR-01,Porcentaje de relatos estructurados correctamente.,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,"Entre los 6 y 7 años el niño debería poder producir relatos con secuencia lógica (inicio–nudo–desenlace), incluyendo conectores temporales y referencias claras a personajes. La dificultad persistente puede impactar en comprensión lectora futura",70,Neurolengua,Relato de 2 eventos sin conectores claros.," Relato con 3 eventos y 1 conector temporal.",Relato completo con secuencia lógica + 2 conectores + coherencia temática.,En proceso,,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,3,Narrativa oral estructurada,,Lenguaje Expresivo
Comprensión y ejecución de consignas orales de 2 y 3 pasos con conectores lógicos y temporales.,"🟢 Menor complejidad“Toca la mesa y después aplaude”Ordenar acciones simples dadas oralmenteJuego de secuencia corporal guiada🟡 Complejidad media“Antes de sentarte, guarda el lápiz”Consignas con distractoresEjecutar mientras escucha música de fondo🔴 Mayor complejidadConsignas condicionales (“Si terminas, entonces…”)Consignas con doble información relevanteEjecución grupal sin repetición",Juego “Simón dice” con 2–3 pasosDar instrucciones para preparar algo simpleRutina diaria con orden verbalizadoJuego de seguir instrucciones en cocina o armado,0,"Ejecución correcta de consignas que incluyan:2 o 3 acciones secuenciadasconectores como: antes de, después de, mientras, si… entoncesinformación relevante sin necesidad de repetición",,6-7,NL-6-7-COM-SEG-02,Porcentaje de consignas ejecutadas correctamente sin repetición.,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,"Entre los 6 y 7 años el niño debe comprender consignas escolares que incluyen secuencias, relaciones causales y condicionales. Las dificultades en esta habilidad afectan el desempeño académico, la autonomía en el aula y la organización conductual",75,Neurolengua,Comprende consignas de 2 pasos simples sin conectores complejos.,Comprende consignas de 3 pasos o con un conector temporal.,Comprende consignas con estructura condicional o doble conector sin apoyo visual,En proceso,,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,3,Comprensión de consignas complejas,,Comprensión
"Manipulación consciente de unidades fonológicas (segmentación, omisión y sustitución de fonemas).",• “Decime los sonidos de SOL”• “Decí MESA sin la M”• “Cambiá la P de PATO por G”• Tarjetas de sustitución inicial• Manipulación con fichas o cubos fonémicos• Juego del robot (habla segmentado),• Juego del “sin” en casa• Rimas modificadas• Palabras inventadas cambiando sonidos• Detectar qué palabra queda si sacamos un sonido,0,"Capacidad para segmentar palabras en fonemas, omitir sonidos iniciales o finales y sustituir fonemas para formar nuevas palabras, en tareas estructuradas y controladas",,6-7,NL-6-7-META-CF-03,Porcentaje de manipulaciones fonémicas correctas,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,"Entre los 6 y 7 años el niño debe consolidar habilidades metalingüísticas que le permitan identificar, segmentar y manipular fonemas de manera consciente. Esta capacidad es un predictor directo del aprendizaje lector-escritor. La dificultad en manipulación fonémica impacta en decodificación, ortografía y fluidez lectora.",80,Neurolengua,Segmenta palabras de estructura simple (CV-CV) y reconoce sonido inicial,Omite sonido inicial o final en palabras bisílabas.,Sustituye fonema inicial o medial y genera palabra válida.,En proceso,,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,2,Conciencia fonológica avanzada,,Metalingüística
"Manipulación fonémica compleja (adición, omisión y sustitución de fonemas)",Tarjetas con transformación de palabrasJuego “palabra robot” (desarmar y volver a armar cambiando sonidos)Dominó fonémicoEscalera de palabras (pato → gato → gata → data),Juego oral en el auto: “decime casa sin /k/”Transformaciones divertidas (“si perro empieza con /g/ ¿qué sería?”)Competencia de palabras inventadasPalabras encadenadas cambiando un sonido,0,"Se considera respuesta correcta cuando el niño logra:Quitar un fonema inicial, medial o final (ej: “plato” sin /p/ → “lato”)Agregar un fonema en posición indicadaSustituir un fonema por otro formando palabra real o pseudopalabra coherenteSin apoyo escrito en Nivel 2 y 3",,7-8,NL-7-8-META-CF-04,Porcentaje de respuestas correctas en tareas de manipulación fonémica oral.,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,"Entre los 7 y 8 años se espera consolidación de la conciencia fonémica explícita. El niño debería poder operar mentalmente sobre los sonidos del habla sin apoyo visual directo. Las tareas de adición, omisión y sustitución fonémica son predictores sólidos del desempeño lector y de la escritura convencional.",80,Neurolengua,Manipula fonemas en posición inicial con apoyo visual.,Manipula fonemas iniciales y finales sin apoyo visual,"Manipula fonemas iniciales, mediales y finales con rapidez y precisión en modalidad auditiva pura.",En proceso,,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,2,Conciencia Fonológica,,Metalingüística
Conciencia silábica compleja y reorganización silábica,Tarjetas con sílabas móvilesJuego “palabra desordenada”Bingo de sílaba tónicaCarrera de sílabas (armar palabra más rápido)Dictado silábico con reorganización,Armar palabras con sílabas escritas en papelitosCompetencia de inversión silábica divertidaBuscar palabras con sílaba trabada en revistas,0,"Se considera logrado cuando el niño puede:Invertir sílabas (pa-lo → lo-pa)Eliminar sílaba inicial o final (ca-mi-sa sin “ca” → mi-sa)Reordenar sílabas para formar palabra correctaTrabajar con sílabas trabadas (pla, bra, tro)Identificar sílaba tónicaSin apoyo escrito en Nivel 3",,7-8,NL-7-8-META-CF-05,Porcentaje de reorganizaciones silábicas correctas.,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,12,,"Entre los 7 y 8 años el niño debería poder operar con unidades silábicas de manera flexible.Ya no solo segmenta o cuenta sílabas, sino que puede:ReordenarlasEliminarlasInvertirlasDetectar sílabas tónicasManipular sílabas complejas (trabadas, diptongos)Esta habilidad impacta directamente en lectura fluida, ortografía y producción escrita.",80,Neurolengua,Segmenta e identifica sílabas con apoyo visual.,Reorganiza sílabas e identifica sílaba tónica con apoyo mínimo.,Manipula sílabas complejas en modalidad auditiva pura con rapidez y precisión.,En proceso,,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,2,Conciencia Fonológica,,Metalingüística
Combinación palabra + gesto significativo," Señalar y nombrar
Juegos de pedir objetos
Modelado gestual
Comunicación intencional","Modelar gestos comunicativos
Reforzar señalamiento
Juegos de pedir
Rutinas comunicativas",0,Producción combinada de gesto comunicativo y palabra.,,2-3,NL-2-SIN-10,Porcentaje de combinaciones correctas,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,En etapas tempranas el lenguaje se apoya fuertemente en gestos comunicativos que acompañan la producción verbal.,70,Neurolengua,gesto + vocalización,gesto + palabra,gesto + frase,En proceso,1,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,2,Integración gesto-verbal,1 (https://www.notion.so/1-31ddbccbb7cb80fe8586c9fd2a1cb666?pvs=21),Comunicación
Denominación espontánea de objetos familiares,"Caja sorpresa: sacar objetos y nombrarlos.

Lotería/memotest simple de objetos cotidianos.

Juego simbólico (cocina/autos/animales) promoviendo nombrar antes de usar.

Clasificación básica (comida/ropa/juguetes) con denominación en cada ítem.

Estrategia de “pausa + mirada” para provocar denominación espontánea.","Nombrar objetos en rutina (ropa/comida/baño) y dar tiempo para que el niño lo diga.

Antes de entregar, esperar la palabra (“¿qué querés?”) y aceptar aproximaciones.

Jugar 5 minutos diarios con 5 objetos y nombrarlos muchas veces.

Leer libros de imágenes y pedir que nombre (“¿qué ves?”).

Reforzar la denominación espontánea con entusiasmo y expansión (“sí, auto grande”).",0,"El niño nombra objetos familiares de manera espontánea durante el juego o la rutina, sin modelo verbal inmediato.

Se considera correcta la palabra reconocible que identifica el objeto (puede ser aproximación fonológica propia de la edad si es consistente y comprensible en contexto).",,2-3,NL-2-LEX-08,Porcentaje de denominaciones correctas de objetos familiares,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,"Entre los 24 y 36 meses el vocabulario expresivo aumenta significativamente. La denominación espontánea refleja acceso léxico, consolidación semántica y uso funcional del lenguaje.

La baja denominación espontánea puede deberse a escaso repertorio léxico, dificultades de evocación o poco intercambio comunicativo; por eso se recomienda trabajar en contextos significativos y repetidos.",70,Neurolengua,"Denominación con apoyo (señalamiento/gesto del adulto)
","
Denominación ante pregunta (“¿qué es?”) sin modelo inmediato
",Denominación espontánea en juego o rutina sin pregunta directa,En proceso,,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,2,Acceso léxico,,Lenguaje Expresivo
Inicio espontáneo de interacción verbal,"Rutinas interrumpidas (pausar una actividad favorita y esperar iniciativa).

Juego de turnos (pelota/encastre) con “mi turno/tu turno” y pausas.

Demora intencional: sostener objeto deseado y esperar pedido/inicio verbal.

Juego de “mostrar” (mira qué es) con refuerzo social inmediato.

Comunicación temptations: objetos a la vista pero fuera de alcance.","Esperar 5–10 segundos antes de anticiparse (dar oportunidad de iniciar).

Dejar cosas a la vista y que necesite pedir ayuda.

Pausar canciones/juegos y esperar que el niño “pida que siga”.

Responder rápido y con entusiasmo cuando inicia.

Promover “mostrar y compartir” (“¿qué viste?”) en paseo/casa.",0,"El niño inicia un intercambio comunicativo verbal dirigido a otra persona (adulto o par) sin estímulo inmediato (sin que le estén preguntando justo en ese momento).

Se considera correcto cuando la producción verbal tiene intención comunicativa (llamar, pedir, mostrar, comentar) y está dirigida a alguien.",,2-3,NL-2-PRAG-09,Porcentaje de intentos de inicio comunicativo verbal,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,"La iniciativa comunicativa es un indicador central del desarrollo pragmático entre los 24 y 36 meses. Implica que el niño usa el lenguaje para iniciar contacto, pedir, comentar o llamar la atención del adulto.

Cuando la iniciativa es baja, se recomienda trabajar estrategias de espera, rutinas interrumpidas y juegos de turnos para aumentar la motivación comunicativa y la intención de compartir.",70,Neurolengua,"Nivel 1: Inicia con vocalización/palabra social (ej. “hola”, “mamá”)


","
Nivel 2: Inicia para pedir o llamar (ej. “dame”, “vení”, “más”)
","
Nivel 3: Inicia para comentar/compartir (ej. “auto acá”, “mira perro”)",En proceso,,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,2,Iniciativa comunicativa,,Pragmática
Comprensión de consignas simples,"1️⃣ Juego de órdenes

Dar consignas simples durante el juego con juguetes.
2️⃣ Rutinas dirigidas

Pedir acciones durante actividades de juego o movimiento.
3️⃣ Juego de búsqueda

Pedir que encuentre y entregue objetos dentro del consultorio.","1️⃣ Consignas en la rutina diaria

Ejemplo: “traé los zapatos”.
2️⃣ Juego de recoger juguetes

Pedir que guarde objetos específicos.
3️⃣ Actividades de ayuda en casa

Pedir acciones simples como “dame la cuchara”.",0,"Respuesta adecuada del niño ante una consigna verbal simple dada por el adulto, sin apoyo gestual directo.
Ejemplos de consignas:
• “Dame la pelota”
• “Traé el auto”
• “Sentate”
• “Poné el muñeco acá”
Se considera correcta cuando el niño realiza la acción solicitada dentro del contexto de interacción.",,2-3,NL-2-COM-11,Porcentaje de respuestas correctas a consignas simples.,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,Entre los 24 y 36 meses los niños comienzan a comprender consignas verbales simples relacionadas con acciones y objetos familiares. Esta habilidad refleja el desarrollo de la comprensión lingüística y la capacidad de procesar instrucciones básicas en contexto. La comprensión de consignas constituye una base fundamental para el desarrollo del lenguaje expresivo y para la participación en interacciones cotidianas.,70,Neurolengua,"Comprende consignas simples con apoyo gestual del adulto.

Ejemplo: el adulto señala el objeto mientras da la consigna.","Comprende consignas simples sin apoyo gestual en contexto de juego.

Ejemplo: “dame el auto”.","Comprende consignas simples en diferentes contextos y con distintos objetos.

Ejemplo: “guardá el juguete”, “traé la pelota”.",En proceso,,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,2,Comprensión verbal,,Comprensión
Comprensión de vocabulario cotidiano,"1️⃣ Juego de señalar imágenes

Presentar tarjetas con objetos familiares y pedir que el niño señale el objeto nombrado.
2️⃣ Juego de selección de objetos

Colocar varios juguetes y solicitar identificar uno específico.
3️⃣ Libros de imágenes

Trabajar la identificación de palabras dentro de libros ilustrados.","1️⃣ Nombrar objetos del hogar

Durante las rutinas diarias pedir al niño que identifique objetos.
2️⃣ Juego de buscar objetos

Ejemplo: “buscá la pelota”.
3️⃣ Lectura de libros con imágenes

Señalar imágenes mientras el adulto nombra los objetos.",0,"Respuesta adecuada del niño ante la solicitud de identificar o señalar un objeto, imagen o acción nombrada por el adulto.
Ejemplos:
• “¿Dónde está la pelota?”
• “Mostrame el perro”
• “¿Dónde está la taza?”
Se considera correcta cuando el niño identifica el objeto solicitado entre varias opciones.",,2-3,NL-2-SEM-12,Porcentaje de respuestas correctas,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,"Entre los 24 y 36 meses los niños amplían significativamente su vocabulario receptivo, comprendiendo palabras vinculadas a objetos, personas, acciones y rutinas cotidianas. La comprensión de vocabulario cotidiano constituye una base fundamental para el desarrollo del lenguaje expresivo y para la participación en interacciones comunicativas significativas. Dificultades en esta área pueden reflejar retrasos en el desarrollo semántico o en la comprensión del lenguaje.",70,Neurolengua,"Identifica objetos altamente familiares con apoyo gestual del adulto.

Ejemplo: señalar la pelota cuando el adulto la menciona.","Identifica objetos familiares presentados en imágenes o entre varias opciones sin apoyo gestual.

Ejemplo: señalar el perro entre diferentes animales.","Identifica vocabulario cotidiano en diferentes contextos y situaciones de juego o rutina.

Ejemplo: reconocer objetos dentro del entorno del consultorio o del hogar.",En proceso,,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,2,Semántica,,Comprensión
Uso de gestos comunicativos,"1️⃣ Juego de señalar objetos

Colocar objetos atractivos y esperar que el niño los señale para pedirlos.
2️⃣ Juego de mostrar objetos

Invitar al niño a mostrar juguetes al terapeuta.
3️⃣ Interacción social guiada

Trabajar gestos como saludar o despedirse durante el juego.","1️⃣ Modelar gestos comunicativos

Los adultos pueden modelar gestos durante las rutinas.
2️⃣ Juegos de señalar

Ejemplo: señalar animales en libros o imágenes.
3️⃣ Interacciones sociales cotidianas

Practicar gestos como saludar, despedirse o pedir.",0,"Uso espontáneo o inducido de gestos comunicativos para expresar una intención comunicativa durante la interacción con el adulto.
Ejemplos de gestos:
• señalar objetos
• mostrar un objeto
• extender la mano para pedir
• saludar con la mano.
Se considera correcto cuando el gesto cumple una función comunicativa clara.",,2-3,NL-2-PRAG-13,Porcentaje de respuestas adecuadas,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,"Durante los primeros años de vida los gestos comunicativos constituyen una forma fundamental de interacción social y de expresión de intenciones comunicativas. Entre los 24 y 36 meses los niños utilizan gestos como señalar, mostrar o entregar objetos para complementar o reemplazar el lenguaje verbal. El uso adecuado de gestos facilita la comprensión del intercambio comunicativo y favorece el desarrollo posterior del lenguaje expresivo.",70,Neurolengua,"Utiliza gestos comunicativos con apoyo del adulto o modelado.

Ejemplo: señalar un objeto luego de que el adulto lo modele.","Utiliza gestos comunicativos de manera espontánea durante el juego.

Ejemplo: señalar un juguete para pedirlo.","Integra gestos comunicativos con vocalizaciones o palabras.

Ejemplo: señalar un objeto y decir “eso”.",En proceso,,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,2,Comunicación no verbal,,Pragmática
